"YEAR","JURISDICTION","Total_Conducted","Positive_Breath_Count","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","% positive breath test results"
2008,"ACT",89354,1887,0,0,0,2.111824876334579
2008,"NSW",4204525,27368,0,0,0,0.6509177612215411
2008,"NT",111662,9460,0,0,0,8.47199584460246
2008,"QLD",2883056,26975,0,0,0,0.9356391273704014
2008,"SA",661839,10467,0,0,0,1.5815024499916144
2008,"TAS",678140,4563,0,0,0,0.6728699088683753
2008,"VIC",3516900,19190,0,0,0,0.5456509994597515
2008,"WA",661386,14532,0,0,0,2.1972040533062387
2009,"ACT",88403,1628,0,0,0,1.8415664626766062
2009,"NSW",4440862,26595,0,0,0,0.5988702193402993
2009,"NT",159374,10990,0,0,0,6.89572954183242
2009,"QLD",3098664,32696,0,0,0,1.0551644192464882
2009,"SA",716186,10954,0,0,0,1.5294909422971128
2009,"TAS",613945,5120,0,0,0,0.8339509239426985
2009,"VIC",3641499,18246,0,0,0,0.5010573942214457
2009,"WA",512595,13039,0,0,0,2.543723602454179
2010,"ACT",97612,1447,0,0,0,1.482399704954309
2010,"NSW",4637033,24411,0,0,0,0.5264357618330514
2010,"NT",181626,10842,0,0,0,5.96940966601698
2010,"QLD",3199185,33638,0,0,0,1.0514552925198137
2010,"SA",731645,10172,0,0,0,1.3902917398465102
2010,"TAS",606991,3895,0,0,0,0.6416899097350702
2010,"VIC",3864296,16297,0,0,0,0.4217327037059273
2010,"WA",551911,11595,0,0,0,2.100882207457362
2011,"ACT",100217,1488,0,0,0,1.4847780316712733
2011,"NSW",4520010,22117,0,0,0,0.4893130767409807
2011,"NT",176358,8914,0,0,0,5.054491432200411
2011,"QLD",3369995,27264,0,0,0,0.8090219718426881
2011,"SA",604722,10034,0,0,0,1.6592748403398587
2011,"TAS",559854,3527,0,0,0,0.6299856748366538
2011,"VIC",3513951,13925,0,0,0,0.3962775804215824
2011,"WA",603484,10644,0,0,0,1.7637584426430528
2012,"ACT",90817,1418,0,0,0,1.5613816796414768
2012,"NSW",4735462,19982,0,0,0,0.42196516411703866
2012,"NT",167667,9332,0,0,0,5.565794103789059
2012,"QLD",3483717,25320,0,0,0,0.7268098987374693
2012,"SA",542219,9267,0,0,0,1.7090880253181833
2012,"TAS",550354,2916,0,0,0,0.5298407933802607
2012,"VIC",3943320,13033,0,0,0,0.33050830264852965
2012,"WA",736209,9737,0,0,0,1.3225863851161832
2013,"ACT",129577,1399,0,0,0,1.0796669161965473
2013,"NSW",5153136,20193,0,0,0,0.3918584722002291
2013,"NT",156719,12395,0,0,0,7.909060165008709
2013,"QLD",3696689,25291,0,0,0,0.6841527648119708
2013,"SA",525003,8890,0,0,0,1.6933236571981494
2013,"TAS",551444,2782,0,0,0,0.5044936566541661
2013,"VIC",3482898,11442,0,0,0,0.32851952598095036
2013,"WA",897397,8636,0,0,0,0.9623388533725876
2014,"ACT",147552,1267,0,0,0,0.8586803296464974
2014,"NSW",5916338,19531,0,0,0,0.33011974637013636
2014,"NT",175914,13562,0,0,0,7.709448935275192
2014,"QLD",3887768,23023,0,0,0,0.5921906862755185
2014,"SA",554882,8154,0,0,0,1.4695016237686571
2014,"TAS",475510,2585,0,0,0,0.5436268427583016
2014,"VIC",3837417,12062,0,0,0,0.3143260166929995
2014,"WA",1236194,11034,0,0,0,0.8925783493529333
2015,"ACT",121416,1134,0,0,0,0.9339790472425381
