"YEAR","JURISDICTION","Total_Conducted","Positive_Drug_Count","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","% positive drug test results"
2008,"NSW",20333,542,0,0,0,2.665617469138838
2008,"QLD",10747,216,0,0,0,2.009863217642133
2008,"SA",25903,600,0,0,0,2.316334015365016
2008,"TAS",412,211,0,0,0,51.213592233009706
2008,"VIC",25006,438,0,0,0,1.7515796208909862
2008,"WA",9823,406,0,0,0,4.133156876717907
2009,"NSW",24884,613,0,0,0,2.4634303166693456
2009,"QLD",12489,254,0,0,0,2.033789734966771
2009,"SA",43681,1179,0,0,0,2.699114031272178
2009,"VIC",28083,323,0,0,0,1.150162019727237
2009,"WA",7565,289,0,0,0,3.8202247191011236
2010,"NSW",32455,735,0,0,0,2.2646741642273915
2010,"QLD",21655,440,0,0,0,2.0318633110136224
2010,"SA",45124,1699,0,0,0,3.765180391809237
2010,"VIC",41642,741,0,0,0,1.779453436434369
2010,"WA",9773,418,0,0,0,4.277089941676046
2011,"NSW",33528,666,0,0,0,1.9863994273443093
2011,"QLD",25172,825,0,0,0,3.2774511361830605
2011,"SA",44178,2320,0,0,0,5.251482638417312
2011,"TAS",1678,573,0,0,0,34.147794994040524
2011,"VIC",25140,760,0,0,0,3.023070803500398
2011,"WA",7637,460,0,0,0,6.023307581511064
2012,"ACT",1733,37,0,0,0,2.1350259665320253
2012,"NSW",31446,705,0,0,0,2.241938561343255
2012,"QLD",19686,937,0,0,0,4.759727725287006
2012,"SA",43569,3237,0,0,0,7.42959443641121
2012,"TAS",1698,523,0,0,0,30.800942285041227
2012,"VIC",47745,2180,0,0,0,4.565923133312388
2012,"WA",9124,623,0,0,0,6.828145550197282
2013,"ACT",2429,116,0,0,0,4.775627830382874
2013,"NSW",34280,898,0,0,0,2.619603267211202
2013,"QLD",20787,1300,0,0,0,6.2539086929330825
2013,"SA",51179,3737,0,0,0,7.301823013345317
2013,"TAS",1819,639,0,0,0,35.129191863661354
2013,"VIC",39471,2540,0,0,0,6.435104253755922
2013,"WA",7265,539,0,0,0,7.419132828630421
2014,"ACT",2520,392,0,0,0,15.555555555555555
