"Year","Jurisdiction","Total_License_Number"
2010,"New South Wales",4791490
2011,"New South Wales",4893688
2012,"New South Wales",4984973
2013,"New South Wales",5060762
2014,"New South Wales",5142396
2015,"New South Wales",5245755
2016,"New South Wales",5337947
2017,"New South Wales",5439711
2018,"New South Wales",5529185
2019,"New South Wales",5606175
2020,"New South Wales",5648327
2021,"New South Wales",5775889
2022,"New South Wales",5960216
2023,"New South Wales",6040358
2024,"New South Wales",6166226
2025,"New South Wales",6350791
2010,"Victoria",3978322
2011,"Victoria",4060582
2012,"Victoria",4135725
2013,"Victoria",4228230
2014,"Victoria",4310687
2015,"Victoria",4384609
2016,"Victoria",4474502
2017,"Victoria",4565595
2018,"Victoria",4665764
2019,"Victoria",4748539
2020,"Victoria",4807706
2021,"Victoria",4895143
2022,"Victoria",4968836
2023,"Victoria",5097911
2024,"Victoria",5260408
2025,"Victoria",5409901
2010,"Queensland",3132341
2011,"Queensland",3240939
2012,"Queensland",3301004
2013,"Queensland",3374824
2014,"Queensland",3384271
2015,"Queensland",3432171
2016,"Queensland",3505706
2017,"Queensland",3580836
2018,"Queensland",3657643
2019,"Queensland",3719766
2020,"Queensland",3806397
2021,"Queensland",3888986
2022,"Queensland",3973138
2023,"Queensland",4051724
2024,"Queensland",4154952
2025,"Queensland",4257206
2010,"South Australia",1130920
2011,"South Australia",1138713
2012,"South Australia",1151821
2013,"South Australia",1183292
2014,"South Australia",1196554
2015,"South Australia",1206194
2016,"South Australia",1219494
2017,"South Australia",1232106
2018,"South Australia",1246015
2019,"South Australia",1258216
2020,"South Australia",1271958
2021,"South Australia",1294479
2022,"South Australia",1329139
2023,"South Australia",1340060
2024,"South Australia",1362548
2025,"South Australia",1381957
2010,"Western Australia",1566465
2011,"Western Australia",1605793
2012,"Western Australia",1623226
2013,"Western Australia",1705915
2014,"Western Australia",1745523
2015,"Western Australia",1777515
2016,"Western Australia",1805895
2017,"Western Australia",1822893
2018,"Western Australia",1847963
2019,"Western Australia",1864453
2020,"Western Australia",1882644
2021,"Western Australia",1908803
2022,"Western Australia",1942272
2023,"Western Australia",1987778
2024,"Western Australia",2048661
2025,"Western Australia",2119222
2010,"Tasmania ",363291
2011,"Tasmania ",367296
2012,"Tasmania ",365359
2013,"Tasmania ",365295
2014,"Tasmania ",366231
2015,"Tasmania ",370296
2016,"Tasmania ",379305
2017,"Tasmania ",380215
2018,"Tasmania ",387773
2019,"Tasmania ",398452
2020,"Tasmania ",406437
2021,"Tasmania ",416263
2022,"Tasmania ",423676
2023,"Tasmania ",426528
2024,"Tasmania ",429865
2025,"Tasmania ",437631
2010,"Northern Territory",132561
2011,"Northern Territory",133035
2012,"Northern Territory",138077
2013,"Northern Territory",146404
2014,"Northern Territory",150653
2015,"Northern Territory",152268
2016,"Northern Territory",154405
2017,"Northern Territory",156344
2018,"Northern Territory",157296
2019,"Northern Territory",156344
2020,"Northern Territory",157831
2021,"Northern Territory",159208
2022,"Northern Territory",159063
2023,"Northern Territory",161361
2024,"Northern Territory",163416
2025,"Northern Territory",167148
2010,"Australian Capital Territory",287134
2011,"Australian Capital Territory",294174
2012,"Australian Capital Territory",301841
2013,"Australian Capital Territory",307834
2014,"Australian Capital Territory",314244
2015,"Australian Capital Territory",312267
2016,"Australian Capital Territory",328377
2017,"Australian Capital Territory",324439
2018,"Australian Capital Territory",330574
2019,"Australian Capital Territory",329637
2020,"Australian Capital Territory",326495
2021,"Australian Capital Territory",326454
2022,"Australian Capital Territory",334900
2023,"Australian Capital Territory",341420
2024,"Australian Capital Territory",347892
2025,"Australian Capital Territory",353334
